,LL,Curvature,Sigma,Dimension,Subject,Domain
0,-0.7145727130543286,-5,1.0,2,SAW,intermediate_object
1,-0.6806513356512814,-4,1.0,2,SAW,intermediate_object
2,-0.6361122473332531,-3,1.0,2,SAW,intermediate_object
3,-0.5740713492155437,-2,1.0,2,SAW,intermediate_object
4,-0.49115603780426575,-1,1.0,2,SAW,intermediate_object
5,-0.42378886564262935,0,1.0,2,SAW,intermediate_object
6,-0.7381471424449149,1,1.0,2,SAW,intermediate_object
7,-0.8464743803175265,2,1.0,2,SAW,intermediate_object
8,-0.892324811107766,3,1.0,2,SAW,intermediate_object
9,-0.9176829548613931,4,1.0,2,SAW,intermediate_object
10,-0.932796343011514,5,1.0,2,SAW,intermediate_object
0,-0.7090900028061551,-5,1.0,2,SAW,intermediate_object
1,-0.6758144153786144,-4,1.0,2,SAW,intermediate_object
2,-0.6323825775801013,-3,1.0,2,SAW,intermediate_object
3,-0.574627590949123,-2,1.0,2,SAW,intermediate_object
4,-0.49335507585825833,-1,1.0,2,SAW,intermediate_object
5,-0.4216815799948689,0,1.0,2,SAW,intermediate_object
6,-0.7361634820253178,1,1.0,2,SAW,intermediate_object
7,-0.8405826113286955,2,1.0,2,SAW,intermediate_object
8,-0.8827031949840818,3,1.0,2,SAW,intermediate_object
9,-0.908335652932299,4,1.0,2,SAW,intermediate_object
10,-0.9325009104168828,5,1.0,2,SAW,intermediate_object
