ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_up.started,start_up.stopped,loading_msg.started,loading_msg.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,instructions_msg.started,instructions_msg.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,page_num.started,page_num.stopped,thank_you.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,9.108947875000013,None,16.061434442999598,None,space,1.013038126999163,16.061434442999598,None,,,,,,,,,,,,,,SAW,001,2021_Sep_27_1729,image_exp,3.2.4,60.26140009471556,
image01,image18,image36,image02,image10,image14,image19,image31,image06,0,0,0,0,,,,,,,,,17.102302006998798,None,0.0,0.0,1,0,0,None,None,18.127524111994717,None,,,SAW,001,2021_Sep_27_1729,image_exp,3.2.4,60.26140009471556,
image01,image21,image29,image20,image35,image37,image36,image24,image06,0,1,1,1,,,,,,,,,,,0.0,0.0,1,0,0,None,None,25.075055107998196,None,,,SAW,001,2021_Sep_27_1729,image_exp,3.2.4,60.26140009471556,
image01,image21,image34,image26,image03,image35,image08,image07,image15,0,2,2,2,,,,,,,,,,,0.0,0.0,1,0,0,None,None,29.22799894399941,None,,,SAW,001,2021_Sep_27_1729,image_exp,3.2.4,60.26140009471556,
image01,image08,image04,image17,image25,image03,image11,image12,image05,0,3,3,3,,,,,,,,,,,0.0,0.0,1,0,0,None,None,34.816238672996406,None,,,SAW,001,2021_Sep_27_1729,image_exp,3.2.4,60.26140009471556,
image01,image25,image27,image28,image11,image22,image13,image32,image16,0,4,4,4,,,,,,,,,,,0.0,0.0,1,0,0,None,None,40.91096000199468,None,,,SAW,001,2021_Sep_27_1729,image_exp,3.2.4,60.26140009471556,
image01,image33,image23,image02,image16,image18,image30,image09,image22,0,5,5,5,,,,,,,,,,,0.0,0.0,1,0,0,None,None,45.6449664699976,None,,,SAW,001,2021_Sep_27_1729,image_exp,3.2.4,60.26140009471556,
image02,image10,image27,image06,image30,image14,image23,image35,image07,0,6,6,6,,,,,,,,,,,0.0,0.0,1,0,0,None,None,49.12228176699864,None,,,SAW,001,2021_Sep_27_1729,image_exp,3.2.4,60.26140009471556,
image02,image22,image20,image35,image05,image31,image23,image26,image15,0,7,7,7,,,,,,,,,,,0.0,0.0,1,0,0,None,None,52.550285309000174,None,,,SAW,001,2021_Sep_27_1729,image_exp,3.2.4,60.26140009471556,
image02,image17,image09,image16,image12,image31,image28,image33,image26,0,8,8,8,,,,,,,,,,,0.0,0.0,1,0,0,None,None,58.1390254739963,None,,,SAW,001,2021_Sep_27_1729,image_exp,3.2.4,60.26140009471556,
image02,image25,image19,image34,image09,image12,image18,image13,image24,0,9,9,9,,,,,,,,,,,0.0,0.0,1,0,0,None,None,62.42822838799475,None,,,SAW,001,2021_Sep_27_1729,image_exp,3.2.4,60.26140009471556,
image02,image08,image04,image03,image25,image36,image21,image18,image11,0,10,10,10,,,,,,,,,,,0.0,0.0,1,0,0,None,None,66.25232927899924,None,,,SAW,001,2021_Sep_27_1729,image_exp,3.2.4,60.26140009471556,
image02,image21,image32,image30,image01,image06,image36,image29,image37,0,11,11,11,,,,,,,,,,,0.0,0.0,1,0,0,None,None,70.65786715299328,None,,,SAW,001,2021_Sep_27_1729,image_exp,3.2.4,60.26140009471556,
image03,image36,image32,image10,image14,image30,image11,image23,image04,0,12,12,12,,,,,,,,,,,0.0,0.0,1,0,0,None,None,75.1703970219969,None,,,SAW,001,2021_Sep_27_1729,image_exp,3.2.4,60.26140009471556,
image03,image10,image13,image12,image20,image08,image04,image07,image34,0,13,13,13,,,,,,,,,,,0.0,0.0,1,0,0,None,None,80.24660024499462,None,,,SAW,001,2021_Sep_27_1729,image_exp,3.2.4,60.26140009471556,
image03,image27,image24,image28,image08,image31,image26,image07,image29,0,14,14,14,,,,,,,,,,,0.0,0.0,1,0,0,None,None,83.78406759299833,None,,,SAW,001,2021_Sep_27_1729,image_exp,3.2.4,60.26140009471556,
image03,image29,image17,image26,image21,image35,image18,image09,image01,0,15,15,15,,,,,,,,,,,0.0,0.0,1,0,0,None,None,88.5338163119959,None,,,SAW,001,2021_Sep_27_1729,image_exp,3.2.4,60.26140009471556,
image03,image33,image35,image15,image02,image09,image16,image37,image25,0,16,16,16,,,,,,,,,,,0.0,0.0,1,0,0,None,None,93.42014396299783,None,,,SAW,001,2021_Sep_27_1729,image_exp,3.2.4,60.26140009471556,
image03,image05,image16,image02,image30,image06,image19,image11,image22,0,17,17,17,,,,,,,,,,,0.0,0.0,1,0,0,None,None,97.02838265199534,None,,,SAW,001,2021_Sep_27_1729,image_exp,3.2.4,60.26140009471556,
image04,image07,image29,image37,image12,image09,image19,image15,image27,0,18,18,18,,,,,,,,,,,0.0,0.0,1,0,0,None,None,104.85450762599794,None,,,SAW,001,2021_Sep_27_1729,image_exp,3.2.4,60.26140009471556,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.77155129499442,None,,,,,,,
